"plot","yr","obsdate","tort","sex","MCL"
"AM",2006,"2006-09-10","AM-10",3,138
"AM",2006,"2006-09-29","AM-10",3,140
"AM",2018,"2018-10-03","AM-100",1,248
"AM",1987,"1987-09-16","AM-11",3,143
"AM",1987,"1987-10-19","AM-12",2,272
"AM",1997,"1997-09-17","AM-12",2,276
"AM",1997,"1997-09-21","AM-12",2,276
"AM",1997,"1997-09-23","AM-12",2,276
"AM",1997,"1997-09-25","AM-12",2,276
"AM",1997,"1997-09-28","AM-12",2,276
"AM",1997,"1997-10-06","AM-12",2,276
"AM",1997,"1997-10-09","AM-12",2,276
"AM",2002,"2002-08-21","AM-12",2,278
"AM",2002,"2002-08-27","AM-12",2,278
"AM",2002,"2002-09-22","AM-12",2,278
"AM",2002,"2002-09-23","AM-12",2,278
"AM",2002,"2002-09-25","AM-12",2,278
"AM",1987,"1987-08-20","AM-13",1,216
"AM",1987,"1987-09-15","AM-13",1,218
"AM",1987,"1987-09-21","AM-14",2,248
"AM",1997,"1997-10-05","AM-14",2,251
"AM",1997,"1997-10-09","AM-14",2,251
"AM",1987,"1987-08-20","AM-15",1,207
"AM",1987,"1987-08-22","AM-16",1,230
"AM",1997,"1997-09-09","AM-16",1,247
"AM",1997,"1997-09-11","AM-16",1,247
"AM",1997,"1997-09-11","AM-16",1,247
"AM",1997,"1997-10-09","AM-16",1,247
"AM",1987,"1987-08-22","AM-17",2,230
"AM",1987,"1987-09-20","AM-17",2,230
"AM",1987,"1987-08-25","AM-18",1,212
"AM",2006,"2006-09-20","AM-18",1,266
"AM",1987,"1987-08-22","AM-19",1,276
"AM",1987,"1987-10-15","AM-19",1,275.5
"AM",1997,"1997-09-23","AM-19",1,279
"AM",1987,"1987-08-21","AM-21",1,119
"AM",1997,"1997-10-07","AM-21",1,216
"AM",2002,"2002-08-21","AM-21",1,233
"AM",2002,"2002-08-22","AM-21",1,233
"AM",2006,"2006-08-24","AM-21",1,240
"AM",2006,"2006-09-21","AM-21",1,240
"AM",2006,"2006-09-29","AM-21",1,240
"AM",1987,"1987-09-19","AM-22",1,195
"AM",1997,"1997-09-26","AM-22",1,250
"AM",1997,"1997-10-08","AM-22",1,250
"AM",1987,"1987-09-22","AM-23",1,211
"AM",1987,"1987-10-08","AM-23",1,212
"AM",1987,"1987-09-17","AM-24",2,262
