"div","yr","mon","pdsi"
1,1985,1,3.63
1,1985,2,3.27
1,1985,3,2.93
1,1985,4,2.81
1,1985,5,2.95
1,1985,6,2.97
1,1985,7,2.82
1,1985,8,-1.12
1,1985,9,0.12
1,1985,10,0.15
1,1985,11,1.18
1,1985,12,-0.45
1,1986,1,-0.95
1,1986,2,-1
1,1986,3,-0.91
1,1986,4,-0.92
1,1986,5,-1.47
1,1986,6,-1.9
1,1986,7,-2
1,1986,8,-1.85
1,1986,9,-1.19
1,1986,10,-0.95
1,1986,11,-0.9
1,1986,12,-0.7
1,1987,1,-0.7
1,1987,2,-0.7
1,1987,3,-0.65
1,1987,4,-0.86
1,1987,5,-1.03
1,1987,6,-1.1
1,1987,7,-1.33
1,1987,8,-1.61
1,1987,9,-1.7
1,1987,10,0.88
1,1987,11,1.9
1,1987,12,1.72
1,1988,1,1.83
1,1988,2,1.52
1,1988,3,0.86
1,1988,4,1.89
1,1988,5,1.81
1,1988,6,1.85
1,1988,7,1.48
1,1988,8,2.61
1,1988,9,-0.59
1,1988,10,-1.28
1,1988,11,-1.43
1,1988,12,-1.56
1,1989,1,-1.05
1,1989,2,-1.41
1,1989,3,-1.96
1,1989,4,-2.91
1,1989,5,-3.16
1,1989,6,-3.56
1,1989,7,-3.79
1,1989,8,-3.67
1,1989,9,-3.92
1,1989,10,-3.72
1,1989,11,-4
1,1989,12,-4.14
1,1990,1,-3.63
1,1990,2,-3.31
1,1990,3,-3.41
1,1990,4,-3.27
1,1990,5,-3
1,1990,6,-2.89
1,1990,7,0.6
1,1990,8,0.74
1,1990,9,1.3
1,1990,10,-0.37
1,1990,11,-0.69
1,1990,12,-1.04
1,1991,1,-0.92
1,1991,2,-1.27
1,1991,3,1.29
1,1991,4,1.08
1,1991,5,1.06
1,1991,6,1.3
1,1991,7,-0.32
1,1991,8,-0.79
1,1991,9,-0.4
1,1991,10,-0.72
1,1991,11,-0.86
1,1991,12,-0.92
1,1992,1,0
1,1992,2,0.71
1,1992,3,2.62
1,1992,4,2.51
1,1992,5,3.69
1,1992,6,4.11
1,1992,7,3.27
1,1992,8,2.76
1,1992,9,1.94
1,1992,10,2.6
1,1992,11,1.88
1,1992,12,2.4
1,1993,1,4.7
1,1993,2,6.56
1,1993,3,6.05
1,1993,4,5.57
1,1993,5,6.08
1,1993,6,6.44
1,1993,7,-0.66
1,1993,8,-0.82
1,1993,9,-1.41
1,1993,10,-1.25
1,1993,11,-0.85
1,1993,12,-1.13
1,1994,1,-1.65
1,1994,2,-1.61
1,1994,3,-1.58
1,1994,4,-1.65
1,1994,5,-2.11
1,1994,6,-2.85
1,1994,7,-3.17
1,1994,8,-3.47
1,1994,9,-3.5
1,1994,10,-3.3
1,1994,11,0.27
1,1994,12,0.51
1,1995,1,1.85
1,1995,2,1.65
1,1995,3,2.23
1,1995,4,2.62
1,1995,5,3.44
1,1995,6,4.51
1,1995,7,-0.24
1,1995,8,-0.98
1,1995,9,-1.26
1,1995,10,-1.79
1,1995,11,-2.19
1,1995,12,-2.6
1,1996,1,-3.01
1,1996,2,-3.05
1,1996,3,-3.51
1,1996,4,-4.12
1,1996,5,-4.49
1,1996,6,-4.95
1,1996,7,-5.16
1,1996,8,-5.69
1,1996,9,-5.45
1,1996,10,-4.99
1,1996,11,-4.26
1,1996,12,-4.29
1,1997,1,-3.53
1,1997,2,-3.37
1,1997,3,-3.9
1,1997,4,-3.95
1,1997,5,-4.41
1,1997,6,-4.53
1,1997,7,-4.78
1,1997,8,0
1,1997,9,1.72
1,1997,10,1.13
1,1997,11,0.78
1,1997,12,0.43
1,1998,1,0.02
1,1998,2,1.69
1,1998,3,1.82
1,1998,4,2.12
1,1998,5,2.57
1,1998,6,3.05
1,1998,7,3.76
1,1998,8,3.19
1,1998,9,3.84
1,1998,10,3.55
1,1998,11,3.27
1,1998,12,-0.56
1,1999,1,-1.23
1,1999,2,-1.64
1,1999,3,-2.43
1,1999,4,-1.8
1,1999,5,-2.35
1,1999,6,-2.45
1,1999,7,-1.13
1,1999,8,-1.65
1,1999,9,-1.14
1,1999,10,-1.74
1,1999,11,-2.34
1,1999,12,-2.77
1,2000,1,-3.26
1,2000,2,-3.14
1,2000,3,-3.11
1,2000,4,-3.75
1,2000,5,-4.47
1,2000,6,-4.69
1,2000,7,-5.28
1,2000,8,-4.29
1,2000,9,-4.54
1,2000,10,-2.86
1,2000,11,-2.85
1,2000,12,-3.27
1,2001,1,-2.46
1,2001,2,-1.98
1,2001,3,-1.71
1,2001,4,-1.31
1,2001,5,-1.57
1,2001,6,-1.88
1,2001,7,-2.21
1,2001,8,-2.4
1,2001,9,-2.84
1,2001,10,-2.97
1,2001,11,-3.02
1,2001,12,-2.88
1,2002,1,-3.24
1,2002,2,-3.78
1,2002,3,-4.14
1,2002,4,-4.8
1,2002,5,-5.21
1,2002,6,-5.62
1,2002,7,-5.82
1,2002,8,-6.39
1,2002,9,-5.47
1,2002,10,-4.74
1,2002,11,-4.41
1,2002,12,-4.36
1,2003,1,-4.84
1,2003,2,-3.47
1,2003,3,-2.89
1,2003,4,-2.17
1,2003,5,-2.15
1,2003,6,-2.31
1,2003,7,-2.79
1,2003,8,-2.76
1,2003,9,-2.71
1,2003,10,-3.19
1,2003,11,-2.73
1,2003,12,-2.61
1,2004,1,-2.91
1,2004,2,-2.16
1,2004,3,-2.94
1,2004,4,-2.41
1,2004,5,-2.9
1,2004,6,-3.26
1,2004,7,-3.7
1,2004,8,-3.8
1,2004,9,-3.54
1,2004,10,2.56
1,2004,11,3.92
1,2004,12,4.07
1,2005,1,5.19
1,2005,2,6.73
1,2005,3,6.15
1,2005,4,6.21
1,2005,5,6.93
1,2005,6,7.23
1,2005,7,-0.27
1,2005,8,-0.07
1,2005,9,-0.72
1,2005,10,0.89
1,2005,11,-0.57
1,2005,12,-1.18
1,2006,1,-1.8
1,2006,2,-2.52
1,2006,3,-2.16
1,2006,4,-2.22
1,2006,5,-3.05
1,2006,6,-3.47
1,2006,7,-3.16
1,2006,8,-3.69
1,2006,9,-3.44
1,2006,10,-2.62
1,2006,11,-3.03
1,2006,12,-3.2
1,2007,1,-3.43
1,2007,2,-3.86
1,2007,3,-4.5
