"plot","yr.m","ppt"
"AM","1985-01",45.71
"AM","1985-02",39.63
"AM","1985-03",31.7
"AM","1985-04",19.34
"AM","1985-05",6.51
"AM","1985-06",2.63
"AM","1985-07",59.43
"AM","1985-08",6.71
"AM","1985-09",26.08
"AM","1985-10",30.72
"AM","1985-11",90.72
"AM","1985-12",1.46
"AM","1986-01",12.09
"AM","1986-02",38.58
"AM","1986-03",67.08
"AM","1986-04",9.63
"AM","1986-05",2.31
"AM","1986-06",9.66
"AM","1986-07",26.45
"AM","1986-08",67.74
"AM","1986-09",49.53
"AM","1986-10",21.41
"AM","1986-11",17.42
"AM","1986-12",31.39
"AM","1987-01",36.84
"AM","1987-02",45.9
"AM","1987-03",19.22
"AM","1987-04",10.68
"AM","1987-05",9.11
"AM","1987-06",5.33
"AM","1987-07",18.16
"AM","1987-08",41.9
"AM","1987-09",21.28
"AM","1987-10",59.95
"AM","1987-11",66.35
"AM","1987-12",36.31
"AM","1988-01",42.17
"AM","1988-02",27.51
"AM","1988-03",2.93
"AM","1988-04",68.35
"AM","1988-05",0
"AM","1988-06",1.41
"AM","1988-07",48.36
"AM","1988-08",143.95
"AM","1988-09",3.47
"AM","1988-10",1.54
"AM","1988-11",16.65
"AM","1988-12",8.34
"AM","1989-01",57.1
"AM","1989-02",9.6
"AM","1989-03",22.57
"AM","1989-04",0
"AM","1989-05",3.39
"AM","1989-06",0
"AM","1989-07",33.09
"AM","1989-08",42.21
"AM","1989-09",0.9
"AM","1989-10",19.46
"AM","1989-11",0
"AM","1989-12",18.41
"AM","1990-01",41.38
"AM","1990-02",37.55
"AM","1990-03",27.07
"AM","1990-04",32.86
"AM","1990-05",8.18
"AM","1990-06",8.71
"AM","1990-07",89.56
"AM","1990-08",48.59
"AM","1990-09",63.45
"AM","1990-10",10.6
"AM","1990-11",13.61
"AM","1990-12",3.72
"AM","1991-01",31.18
"AM","1991-02",27.39
"AM","1991-03",152.13
"AM","1991-04",0
"AM","1991-05",0
"AM","1991-06",2.85
"AM","1991-07",15.83
"AM","1991-08",30.47
"AM","1991-09",25.98
"AM","1991-10",12.48
"AM","1991-11",37.98
"AM","1991-12",34.38
"AM","1992-01",56.54
"AM","1992-02",83.02
"AM","1992-03",90.4
"AM","1992-04",8.44
"AM","1992-05",37.89
"AM","1992-06",1.48
"AM","1992-07",16.62
"AM","1992-08",118.86
"AM","1992-09",1.9
"AM","1992-10",17.41
"AM","1992-11",0
"AM","1992-12",107.57
"AM","1993-01",179.05
"AM","1993-02",156.69
"AM","1993-03",34.55
"AM","1993-04",0
"AM","1993-05",42.51
"AM","1993-06",1.02
"AM","1993-07",0
"AM","1993-08",49.14
"AM","1993-09",0
"AM","1993-10",20.65
"AM","1993-11",30.56
"AM","1993-12",8.45
"AM","1994-01",5.93
"AM","1994-02",36.01
"AM","1994-03",31.37
"AM","1994-04",23.9
"AM","1994-05",12.24
"AM","1994-06",1.88
"AM","1994-07",14.06
"AM","1994-08",24.72
"AM","1994-09",26.57
"AM","1994-10",13.93
"AM","1994-11",15.27
"AM","1994-12",68.53
"AM","1995-01",97.65
"AM","1995-02",70.2
"AM","1995-03",58.94
"AM","1995-04",23.04
"AM","1995-05",8.39
"AM","1995-06",3.52
"AM","1995-07",9
"AM","1995-08",29.29
"AM","1995-09",17.44
"AM","1995-10",0
"AM","1995-11",6.48
"AM","1995-12",4.32
"AM","1996-01",3.44
"AM","1996-02",31.2
"AM","1996-03",20.48
"AM","1996-04",0
"AM","1996-05",4.51
"AM","1996-06",0
"AM","1996-07",18.23
"AM","1996-08",46.21
"AM","1996-09",23.63
"AM","1996-10",3.13
"AM","1996-11",14.33
"AM","1996-12",6.59
"AM","1997-01",77.68
"AM","1997-02",34.38
"AM","1997-03",0
"AM","1997-04",27.14
"AM","1997-05",0.03
"AM","1997-06",1.03
"AM","1997-07",5.39
"AM","1997-08",44.25
"AM","1997-09",106.64
"AM","1997-10",0
"AM","1997-11",8.55
"AM","1997-12",53.74
"AM","1998-01",30.97
"AM","1998-02",100.86
"AM","1998-03",54.07
"AM","1998-04",25.9
"AM","1998-05",13.32
"AM","1998-06",0
"AM","1998-07",65.27
"AM","1998-08",63.28
"AM","1998-09",49.24
"AM","1998-10",13.12
"AM","1998-11",33.53
"AM","1998-12",9.09
"AM","1999-01",3.69
"AM","1999-02",16.57
"AM","1999-03",12.36
"AM","1999-04",25.61
"AM","1999-05",0
"AM","1999-06",13
"AM","1999-07",77.9
"AM","1999-08",38.89
"AM","1999-09",49.31
"AM","1999-10",0
"AM","1999-11",0
"AM","1999-12",0
"AM","2000-01",3.95
"AM","2000-02",29.94
"AM","2000-03",54.44
"AM","2000-04",0
"AM","2000-05",0
"AM","2000-06",35.22
"AM","2000-07",2.77
"AM","2000-08",91.35
"AM","2000-09",0
"AM","2000-10",89.21
"AM","2000-11",8.95
"AM","2000-12",0
"AM","2001-01",46.81
"AM","2001-02",38.4
"AM","2001-03",45.73
"AM","2001-04",31.45
"AM","2001-05",8.34
"AM","2001-06",0.25
"AM","2001-07",17.42
"AM","2001-08",37.48
"AM","2001-09",10.43
"AM","2001-10",13.75
"AM","2001-11",17.87
"AM","2001-12",21.14
"AM","2002-01",0
"AM","2002-02",0
"AM","2002-03",5.49
"AM","2002-04",8.25
"AM","2002-05",0
"AM","2002-06",0
"AM","2002-07",17.83
"AM","2002-08",0
"AM","2002-09",31.64
"AM","2002-10",15.05
"AM","2002-11",14.18
"AM","2002-12",9.5
"AM","2003-01",14.4
"AM","2003-02",101.62
"AM","2003-03",42.25
"AM","2003-04",5.66
"AM","2003-05",0
"AM","2003-06",0
"AM","2003-07",26.86
"AM","2003-08",61.94
"AM","2003-09",23.58
"AM","2003-10",0
"AM","2003-11",34.08
"AM","2003-12",18.4
"AM","2004-01",8.11
"AM","2004-02",34.52
"AM","2004-03",9.92
"AM","2004-04",41.64
"AM","2004-05",0
"AM","2004-06",0
"AM","2004-07",13.33
"AM","2004-08",38.42
"AM","2004-09",49.19
"AM","2004-10",119.53
"AM","2004-11",91.93
"AM","2004-12",38.2
"AM","2005-01",97.1
"AM","2005-02",116.48
"AM","2005-03",21.63
"AM","2005-04",20.23
"AM","2005-05",0
"AM","2005-06",0
"AM","2005-07",19.79
"AM","2005-08",71.71
"AM","2005-09",1.9
"AM","2005-10",35.08
"AM","2005-11",1.28
"AM","2005-12",0
"AM","2006-01",0
"AM","2006-02",0.88
"AM","2006-03",28.02
"AM","2006-04",6.37
"AM","2006-05",0.3
"AM","2006-06",4.51
"AM","2006-07",45.41
"AM","2006-08",36.32
"AM","2006-09",44.86
"AM","2006-10",26.17
"AM","2006-11",0
"AM","2006-12",1.7
"AM","2007-01",10.16
"AM","2007-02",11.43
"AM","2007-03",15.7
"AM","2007-04",0
"AM","2007-05",0
"AM","2007-06",0
"AM","2007-07",44.07
"AM","2007-08",22.55
"AM","2007-09",13.36
"AM","2007-10",2.89
"AM","2007-11",0
"AM","2007-12",45.02
"AM","2008-01",82.19
"AM","2008-02",22.76
"AM","2008-03",0
"AM","2008-04",0
"AM","2008-05",11.94
"AM","2008-06",0
"AM","2008-07",32.3
"AM","2008-08",67.59
"AM","2008-09",13.02
"AM","2008-10",0
"AM","2008-11",44.02
"AM","2008-12",65.54
"AM","2009-01",4.78
"AM","2009-02",38.72
"AM","2009-03",0
"AM","2009-04",7.05
"AM","2009-05",3.24
"AM","2009-06",1.98
"AM","2009-07",21.05
