"plot","code","area.sqmi","yr","persondays"
"Arrastra Mtns","AM",1.1,1987,60
"Arrastra Mtns","AM",1.1,1997,35
"Arrastra Mtns","AM",1.1,2002,36
"Arrastra Mtns","AM",1.1,2006,20
"Arrastra Mtns","AM",1.1,2018,49
"Bonanza Wash","BZ",1,1992,62
"Bonanza Wash","BZ",1,1997,35
"Bonanza Wash","BZ",1,2002,35
"Bonanza Wash","BZ",1,2006,19
"Bonanza Wash","BZ",1,2017,40
"Buck Mtns","BM",1,2002,33
"Buck Mtns","BM",1,2005,38
"Buck Mtns","BM",1,2010,35
"Eagletail Mtns","ET",1,1987,52
"Eagletail Mtns","ET",1,1990,61
"Eagletail Mtns","ET",1,1991,36
"Eagletail Mtns","ET",1,1992,35
"Eagletail Mtns","ET",1,1993,35
"Eagletail Mtns","ET",1,1994,35
"Eagletail Mtns","ET",1,1998,35
"Eagletail Mtns","ET",1,2003,40
"Eagletail Mtns","ET",1,2007,29
"Eagletail Mtns","ET",1,2019,50
"East Bajada","EB",1,1990,89
"East Bajada","EB",1,1993,60
"East Bajada","EB",1,1997,60
"East Bajada","EB",1,2002,60
"East Bajada","EB",1,2007,11
"East Bajada","EB",1,2018,52
"Four Peaks","FP",0.38,1992,56
"Four Peaks","FP",0.38,1995,56
"Four Peaks","FP",0.38,2001,60
"Four Peaks","FP",0.38,2017,60
"Granite Hills","GH",1,1990,66
"Granite Hills","GH",1,1991,60
"Granite Hills","GH",1,1992,60
"Granite Hills","GH",1,1993,60
"Granite Hills","GH",1,1994,60
"Granite Hills","GH",1,1998,60
"Granite Hills","GH",1,2003,60
"Granite Hills","GH",1,2007,36
"Granite Hills","GH",1,2020,60
"Harcuvar Mtns","HM",1,1988,68
"Harcuvar Mtns","HM",1,1993,64
"Harcuvar Mtns","HM",1,1997,60
"Harcuvar Mtns","HM",1,2002,60
"Harcuvar Mtns","HM",1,2006,45
"Harcuvar Mtns","HM",1,2017,70
"Harcuvar Mtns","HM",1,2020,62
"Harquahala Mtns","HQ",1,1988,67
"Harquahala Mtns","HQ",1,1994,60.5
"Harquahala Mtns","HQ",1,2001,35
"Harquahala Mtns","HQ",1,2004,28
"Harquahala Mtns","HQ",1,2016,46
"Hualapai Foothills","HF",1,1991,60
"Hualapai Foothills","HF",1,1996,60
"Hualapai Foothills","HF",1,2001,60
"Hualapai Foothills","HF",1,2005,35
"Hualapai Foothills","HF",1,2016,68
"Little Shipp Wash","LS",1,1990,61
"Little Shipp Wash","LS",1,1991,60
"Little Shipp Wash","LS",1,1992,60
"Little Shipp Wash","LS",1,1993,60
"Little Shipp Wash","LS",1,1994,60
"Little Shipp Wash","LS",1,1998,60
"Little Shipp Wash","LS",1,2003,60
"Little Shipp Wash","LS",1,2007,45
"Little Shipp Wash","LS",1,2018,71
"Maricopa Mtns","MM",0.87,1987,68
"Maricopa Mtns","MM",0.87,1990,60
"Maricopa Mtns","MM",0.87,2000,60
"Maricopa Mtns","MM",0.87,2005,47
"Maricopa Mtns","MM",0.87,2015,46
"New Water Mtns","NW",1,1988,46
"New Water Mtns","NW",1,1999,35
"New Water Mtns","NW",1,2003,25
"New Water Mtns","NW",1,2007,18
"New Water Mtns","NW",1,2020,46
"San Pedro Valley","SP",1,1991,60
"San Pedro Valley","SP",1,1995,60
"San Pedro Valley","SP",1,2001,60
"San Pedro Valley","SP",1,2004,60
"San Pedro Valley","SP",1,2008,29
"San Pedro Valley","SP",1,2020,60
"Tortilla Mtns","TM",1,1992,60
"Tortilla Mtns","TM",1,1996,60
"Tortilla Mtns","TM",1,2001,60
"Tortilla Mtns","TM",1,2006,44
"Tortilla Mtns","TM",1,2015,56
"West Silverbell Mtns","WS",1,1991,60
"West Silverbell Mtns","WS",1,1995,60
"West Silverbell Mtns","WS",1,2000,60
"West Silverbell Mtns","WS",1,2004,62
"West Silverbell Mtns","WS",1,2008,27
"Wickenburg Mtns","WM",0.5,1991,60
"Wickenburg Mtns","WM",0.5,2000,36
"Wickenburg Mtns","WM",0.5,2004,35
"Wickenburg Mtns","WM",0.5,2008,20
