"plot","drought","juv","juv_lcl","juv_ucl","ad_fem","ad_fem_lcl","ad_fem_ucl","ad_male","ad_male_lcl","ad_male_ucl","trans","trans_lcl","trans_ucl","lambda","lambda_lcl","lambda_ucl","probdecline"
"AM",-3,0.638451675202575,0.299771184642516,0.876324970615054,0.936809928621899,0.892093063341752,0.967937393449599,0.921540021081679,0.86822331871187,0.959699497601029,0.119884917028432,0.0475130898251287,0.280139502985482,0.996511329837708,0.935265874455848,1.06605347348543,0.571
"BM",-3,0.573394798226727,0.179820799208182,0.866093032457599,0.86318438183627,0.766635608484925,0.931371272571768,0.833585763220608,0.723504121459884,0.915018176638537,0.0565655262555663,0.0154551168294564,0.151331755575086,0.899958704575199,0.802823888647742,0.987675016336919,0.9875
"BZ",-3,0.649890290468298,0.407135045473587,0.844953782397425,0.937195737468774,0.889451537594678,0.96944249245544,0.922064357239203,0.863348416059485,0.96139405891682,0.0897947866279826,0.0215669597219709,0.157298222941728,0.986698041864041,0.928974173721509,1.0431517852586,0.676166666666667
"EB",-3,0.532502463389859,0.238779372398051,0.776448245053388,0.874122256674942,0.798984710627826,0.930897823564696,0.846364931069443,0.759433267103238,0.913694539837946,0.0621767884146448,0.0221771180382019,0.139297247551486,0.904091715656888,0.828123016175097,0.970394692121272,0.997166666666667
"ET",-3,0.57744810538144,0.344708766259254,0.777523065773741,0.927659549106083,0.87747720796424,0.963716744082011,0.910360542870159,0.850291729763558,0.953928358117894,0.0452228487150039,0.0189683757858983,0.0818887113977301,0.950867826389297,0.897259109154809,0.993920886470586,0.986666666666667
"FP",-3,0.586592219883866,0.243012124697463,0.862988452359621,0.914150858152472,0.85375681076714,0.956925402794872,0.894177053119179,0.823080791483218,0.945522535532088,0.141017209815065,0.0534831237454693,0.268521490883259,0.974887139776562,0.900258430313583,1.05243079360529,0.747666666666667
"GH",-3,0.807564465776433,0.715659618918833,0.879512929530292,0.884971292225721,0.81504054298713,0.936629584551797,0.859150794033877,0.779962291097123,0.92100180800579,0.0715967165039233,0.0497704578693748,0.0951555222717655,0.970720998308919,0.913427577313058,1.01792253879335,0.8735
"HF",-3,0.658023620142652,0.387072227478077,0.860535024963036,0.887965449668121,0.816629121238532,0.940586983471485,0.862777967960443,0.779491419761792,0.924858108311785,0.095115380502394,0.0428101755247129,0.28042762927653,0.94662986128088,0.867011129138268,1.02447758270436,0.921833333333333
"HM",-3,0.600735753845356,0.388586957320814,0.775605286776315,0.931955587985118,0.890848126404607,0.962329309185682,0.915667695212024,0.867744550468962,0.951889906212654,0.0789737349623968,0.038424773503943,0.141986500371583,0.970016772960519,0.923350575082958,1.01144448412165,0.919333333333333
"HQ",-3,0.594456774027616,0.302726529539528,0.820100361347264,0.927737134156471,0.877631166671152,0.963093549891318,0.910533295089732,0.849609174205037,0.953317280591659,0.0760393259640427,0.0225041887969032,0.140427301571275,0.965805093798314,0.908842681554315,1.02246477874749,0.890833333333333
"LS",-3,0.705838529877353,0.591699961664749,0.801297038382417,0.922660691745195,0.876494062817574,0.956664097947671,0.904282140853867,0.848057126950538,0.945708530047261,0.0976742364746993,0.0650446992621014,0.14743296280462,0.986445126452432,0.940883284289122,1.02571421116023,0.726166666666667
"MM",-3,0.694551667292184,0.422443144948025,0.896014838369073,0.87021635309611,0.792751537171755,0.92828723656449,0.841761126371223,0.752943141938154,0.909172430616875,0.0864124632029111,0.0375396069100622,0.238221326834584,0.937293454952484,0.852102738790872,1.0206927277154,0.931
"NW",-3,0.586228748346289,0.306400536285527,0.821748495760931,0.922247803994273,0.862954928235123,0.963277122067895,0.903862923268787,0.83149056566728,0.95409217933919,0.0539404362652805,0.0184011935989272,0.128357729473644,0.950614324610129,0.886260778421641,1.00517531956106,0.961
"SP",-3,0.569938023291243,0.263010802891966,0.800951631406901,0.879728133981429,0.80923137938903,0.932267837363032,0.853032248777852,0.773875534476419,0.91405692465909,0.142760556277822,0.0691032879812263,0.339125478754073,0.939979214202397,0.863351746042532,1.01125055030973,0.949333333333333
"TM",-3,0.715835028251744,0.551359638004154,0.840953399837133,0.923729319146087,0.870491298785688,0.961231986980596,0.905670937142702,0.843323627434553,0.951431059292711,0.0811771996322946,0.0384218219393695,0.134297532694225,0.982474349654426,0.928776023606064,1.03113294008058,0.748666666666667
"WM",-3,0.840010685301442,0.643833205231585,0.967960648075254,0.934789089807035,0.880167762473475,0.970280434677188,0.91921973781394,0.856221613881723,0.961946935313789,0.144041119641783,0.0643938307810148,0.258735714068844,1.05172722464459,0.979838228857022,1.11655406332456,0.0815
"WS",-3,0.635127690046264,0.469351114562639,0.774716687689883,0.921334420192343,0.864502425326808,0.960912674243673,0.902766735203661,0.834633134634081,0.950096410334996,0.0700808453556609,0.0351771252764742,0.117521333216895,0.961215452345852,0.903950074462381,1.00662432972154,0.9495
"AM",-1.08366532976827,0.759894230544284,0.467520037292815,0.929444563472465,0.967500578468554,0.943400377291885,0.984091182472871,0.959303157777859,0.92957125511941,0.979789732231447,0.119884917028432,0.0475130898251287,0.280139502985482,1.04582878038131,0.990516720473878,1.10980275804493,0.0571666666666667
"BM",-1.08366532976827,0.704827724147516,0.297114888649278,0.9241120463488,0.957445392097014,0.918374862579344,0.981560276763107,0.946945518954433,0.900581175636037,0.97637350507113,0.0565655262555663,0.0154551168294564,0.151331755575086,1.00022012043757,0.948299233001038,1.06210695565985,0.525166666666667
"BZ",-1.08366532976827,0.772934408727668,0.587111685664529,0.908628018394672,0.967693541139806,0.942042451306489,0.984676972909567,0.95956598619865,0.928184381071481,0.980200991333802,0.0897947866279826,0.0215669597219709,0.157298222941728,1.03510064931415,0.985466258701542,1.08309678247913,0.085
"EB",-1.08366532976827,0.675594284703319,0.411905717095131,0.859051770577056,0.95728603295512,0.927933360346352,0.978123898827346,0.946728977032953,0.911454649635875,0.972044905849113,0.0621767884146448,0.0221771180382019,0.139297247551486,0.996526424657297,0.956432795871504,1.0429006467036,0.587333333333333
"ET",-1.08366532976827,0.723644592438821,0.610573507336682,0.818887960585962,0.979257741780781,0.965500534527853,0.989156601083519,0.973944982226447,0.957164729657901,0.986232697017677,0.0452228487150039,0.0189683757858983,0.0818887113977301,1.01188797553676,0.989917584616978,1.03677156653135,0.1525
"FP",-1.08366532976827,0.720983790114172,0.472043272488875,0.886890668432736,0.943282854360229,0.905828002359113,0.97006146740446,0.929487727138779,0.884654281699023,0.96185410308914,0.141017209815065,0.0534831237454693,0.268521490883259,1.02436817400674,0.967632525055423,1.08314551260608,0.213166666666667
"GH",-1.08366532976827,0.888930825419368,0.850129149125098,0.924641520671597,0.951060797117476,0.920768988424758,0.973085903511025,0.939006069226583,0.902735621141885,0.965696472428083,0.0715967165039233,0.0497704578693748,0.0951555222717655,1.04405153375182,1.01754311065335,1.06758943579137,0.000833333333333333
"HF",-1.08366532976827,0.779736789958382,0.554034250658439,0.921055959382873,0.957826306976348,0.927598043581082,0.978865721601682,0.947385165449013,0.910864235307724,0.972926885248054,0.095115380502394,0.0428101755247129,0.28042762927653,1.02935403361009,0.979088329946577,1.09616230548075,0.138
"HM",-1.08366532976827,0.736908174218763,0.578075843894017,0.861735730075739,0.972753721230146,0.955503300769811,0.985223898884316,0.965872717591093,0.944873687616344,0.981029035986387,0.0789737349623968,0.038424773503943,0.141986500371583,1.02693685614034,0.994559237161366,1.06332328336798,0.0551666666666667
"HQ",-1.08366532976827,0.727843584979041,0.476973483855844,0.892469355037008,0.969264452581329,0.946511680689944,0.984360320245848,0.961521809680878,0.933587411760575,0.980304239491768,0.0760393259640427,0.0225041887969032,0.140427301571275,1.02212568733959,0.979157377846904,1.07171003779812,0.1715
"LS",-1.08366532976827,0.818692100631824,0.748755407849916,0.883636820249039,0.966002445068717,0.945347248984367,0.981215186890935,0.957430794418767,0.932265741950519,0.976101255434292,0.0976742364746993,0.0650446992621014,0.14743296280462,1.04836188610268,1.02219793112416,1.07460480330056,5e-04
"MM",-1.08366532976827,0.808999159342431,0.616368372772261,0.93629313153549,0.952737958344693,0.923607057895932,0.974027552134496,0.941115293491308,0.906571270066039,0.966783076881117,0.0864124632029111,0.0375396069100622,0.238221326834584,1.02835841798931,0.979094876407745,1.09331771818652,0.1515
